sample	phylum	read_count	contig_count	bin_count	contig_percent	bin_percent
ERR1135340	p__Krumholzibacteriota	1	0	0	0.00	0.00
ERR1135340	p__Babelota	8	0	0	0.00	0.00
ERR1135340	p__PUNC01	1	0	0	0.00	0.00
ERR1135340	p__UBP6	2	0	0	0.00	0.00
ERR1135340	p__Electryoneota	1	0	0	0.00	0.00
ERR1135340	p__CG2-30-53-67	2	0	0	0.00	0.00
ERR1135340	p__Desulfobacterota_E	1	0	0	0.00	0.00
ERR1135340	p__Bipolaricaulota	3	0	0	0.00	0.00
ERR1135340	p__Schekmanbacteria	2	0	0	0.00	0.00
ERR1135340	p__Nitrospinota	3	0	0	0.00	0.00
ERR1135340	p__Eisenbacteria	1	0	0	0.00	0.00
ERR1135340	p__Thermotogota	1	0	0	0.00	0.00
ERR1135340	p__Sysuimicrobiota	2	0	0	0.00	0.00
ERR1135340	p__Hinthialibacterota	1	0	0	0.00	0.00
ERR1135340	p__Desulfobacterota_G	1	0	0	0.00	0.00
ERR1135340	p__Thermoplasmatota	5966	1159	0	19.43	0.00
ERR1135340	p__Methanobacteriota	1671	103	0	6.16	0.00
ERR1135340	p__Halobacteriota	29	0	0	0.00	0.00
ERR1135340	p__Thermoproteota	10	0	0	0.00	0.00
ERR1135340	p__Aenigmatarchaeota	1	0	0	0.00	0.00
ERR1135340	p__Micrarchaeota	1	0	0	0.00	0.00
ERR1135340	p__Nanobdellota	2	0	0	0.00	0.00
ERR1135348	p__Bacteroidota	1483580	1041756	215989	70.22	14.56
ERR1135348	p__Bacillota	1308933	532659	164483	40.69	12.57
ERR1135348	p__Myxococcota	21006	15281	18	72.75	0.09
ERR1135348	p__Spirochaetota	130800	96728	82844	73.95	63.34
ERR1135348	p__Planctomycetota	2971	16	0	0.54	0.00
ERR1135348	p__Verrucomicrobiota	20919	2094	11	10.01	0.05
ERR1135348	p__Pseudomonadota	30785	13046	9117	42.38	29.62
ERR1135348	p__Campylobacterota	20562	9274	0	45.10	0.00
ERR1135348	p__Vulcanimicrobiota	2051	25	0	1.22	0.00
ERR1135348	p__Fibrobacterota	2887	99	0	3.43	0.00
ERR1135348	p__Cyanobacteriota	20903	1049	18	5.02	0.09
ERR1135348	p__Actinomycetota	7866	109	0	1.39	0.00
ERR1135348	p__Patescibacteriota	1682	216	7	12.84	0.42
ERR1135348	p__Desulfobacterota_I	2131	40	0	1.88	0.00
ERR1135348	p__Elusimicrobiota	809	48	0	5.93	0.00
ERR1135348	p__Chlamydiota	226	65	0	28.76	0.00
ERR1135348	p__Chrysiogenota	211	2	0	0.95	0.00
ERR1135348	p__Bdellovibrionota_B	69	0	0	0.00	0.00
ERR1135348	p__Synergistota	47	0	0	0.00	0.00
ERR1135348	p__Cloacimonadota	39	0	0	0.00	0.00
ERR1135348	p__Fusobacteriota	158	82	0	51.90	0.00
ERR1135348	p__Thermotogota	12	0	0	0.00	0.00
ERR1135348	p__Marinisomatota	8	0	0	0.00	0.00
ERR1135348	p__Bacteroidota_A	54	32	31	59.26	57.41
ERR1135348	p__Babelota	4	0	0	0.00	0.00
ERR1135348	p__Gemmatimonadota	8	0	0	0.00	0.00
ERR1135348	p__Acidobacteriota	27	0	0	0.00	0.00
ERR1135348	p__Chloroflexota	39	2	0	5.13	0.00
ERR1135348	p__Desulfobacterota	33	0	0	0.00	0.00
ERR1135348	p__Desulfobacterota_B	1	2	0	200.00	0.00
ERR1135348	p__Muiribacteriota	4	0	0	0.00	0.00
ERR1135348	p__Edwardsbacteria	1	0	0	0.00	0.00
ERR1135348	p__Methylomirabilota	1	0	0	0.00	0.00
ERR1135348	p__Zixibacteria	2	0	0	0.00	0.00
ERR1135348	p__UBP6	2	0	0	0.00	0.00
ERR1135348	p__UBA10199	1	0	0	0.00	0.00
ERR1135348	p__SAR324	2	0	0	0.00	0.00
ERR1135348	p__Omnitrophota	1	0	0	0.00	0.00
ERR1135348	p__Nitrospirota	5	0	0	0.00	0.00
ERR1135348	p__Bdellovibrionota	2	0	0	0.00	0.00
ERR1135348	p__PUNC01	1	0	0	0.00	0.00
ERR1135348	p__Hydrogenedentota	3	0	0	0.00	0.00
ERR1135348	p__Poribacteria	1	0	0	0.00	0.00
ERR1135348	p__Bipolaricaulota	1	0	0	0.00	0.00
ERR1135348	p__4484-113	1	0	0	0.00	0.00
ERR1135348	p__Orphanbacterota	1	0	0	0.00	0.00
ERR1135348	p__Thermosulfidibacterota	1	0	0	0.00	0.00
ERR1135348	p__Armatimonadota	1	0	0	0.00	0.00
ERR1135348	p__TA06_A	1	0	0	0.00	0.00
ERR1135348	p__JACRDZ01	1	0	0	0.00	0.00
ERR1135348	p__Joyebacterota	1	0	0	0.00	0.00
ERR1135348	p__Deinococcota	1	0	0	0.00	0.00
ERR1135348	p__BMS3Abin14	2	0	0	0.00	0.00
ERR1135348	p__UBA3054	4	4	0	100.00	0.00
ERR1135348	p__Margulisbacteria	1	0	0	0.00	0.00
ERR1135348	p__Sumerlaeota	1	0	0	0.00	0.00
ERR1135348	p__Desulfobacterota_G	2	0	0	0.00	0.00
ERR1135348	p__WOR-3	1	0	0	0.00	0.00
ERR1135348	p__Zhuqueibacterota	1	0	0	0.00	0.00
ERR1135348	p__Thermoplasmatota	7953	968	0	12.17	0.00
ERR1135348	p__Methanobacteriota	2895	279	19	9.64	0.66
ERR1135348	p__Halobacteriota	78	60	19	76.92	24.36
