sample	taxon	contig_p	bin_p
ERR3211993	d__Bacteria	47.89196170721207	9.83697991998955
ERR3211993	d__Archaea	54.17156286721504	0.0
ERR3211994	d__Bacteria	23.21114147827008	5.096552779258919
ERR3211994	d__Archaea	7.55530558680165	0.0
ERR3211995	d__Bacteria	41.757468105350284	7.178002240701628
ERR3211995	d__Archaea	11.45731905225576	0.0
ERR3211996	d__Bacteria	41.39293837616522	2.4736360991063733
ERR3211996	d__Archaea	16.65043816942551	0.0
ERR3212026	d__Bacteria	53.101562442760766	2.40353892104914
ERR3212026	d__Archaea	10.552763819095476	0.0
ERR3212028	d__Bacteria	41.13880515851151	5.417085318553571
ERR3212028	d__Archaea	23.459372485921158	0.0
ERR3212029	d__Bacteria	42.26620931413266	3.389330314615248
ERR3212029	d__Archaea	22.86802450736877	0.0
ERR3212030	d__Bacteria	48.68554210649072	10.928891417983825
ERR3212030	d__Archaea	10.392902408111533	0.0
ERR3212031	d__Bacteria	48.403138906492984	4.899679727822143
ERR3212031	d__Archaea	12.526193247962746	0.0
ERR3212037	d__Bacteria	41.264080752396325	6.107139873150175
ERR3212037	d__Archaea	8.417508417508419	0.0
ERR3212039	d__Bacteria	40.67838465584443	7.637174654687471
ERR3212039	d__Archaea	20.13458473525766	0.0
ERR3212040	d__Bacteria	37.4910368520062	4.617368011066624
ERR3212040	d__Archaea	10.882563979909113	0.0
ERR3212048	d__Bacteria	46.84345323042963	3.8403928021313845
ERR3212048	d__Archaea	10.996119016817593	0.0
ERR3212049	d__Bacteria	50.503005429162364	1.8853412616339196
ERR3212049	d__Archaea	20.855057351407716	0.0
ERR3212050	d__Bacteria	38.02565121919332	4.088791176734784
ERR3212050	d__Archaea	18.04363376251788	0.0
ERR3212051	d__Bacteria	35.1601528494144	4.4413678283443625
ERR3212051	d__Archaea	11.773107529075698	0.0
ERR3212052	d__Bacteria	41.93375571064164	4.9173723685346395
ERR3212052	d__Archaea	12.973593570608497	0.0
ERR3212053	d__Bacteria	40.71592241178609	2.99341178200473
ERR3212053	d__Archaea	13.382663847780126	0.0
ERR3610829	d__Bacteria	98.80586105899471	74.07328568412859
ERR3610829	d__Archaea	0.0	0.0
ERR8314728	d__Bacteria	61.608210136499984	2.716811626449089
ERR8314728	d__Archaea	19.880994049702487	0.0
ERR8314730	d__Bacteria	56.232124561681985	2.8067504581595695
ERR8314730	d__Archaea	2.737603305785124	0.0
ERR8314731	d__Bacteria	51.7207448800834	5.09433333356242
ERR8314731	d__Archaea	1.3086721340080265	0.0
ERR8314738	d__Bacteria	59.11004908698487	4.375650787651723
ERR8314738	d__Archaea	58.36120401337793	0.0
ERR8314740	d__Bacteria	57.47734439077355	2.5018099810574137
ERR8314740	d__Archaea	4.699886749716875	0.0
ERR8314741	d__Bacteria	55.2543704711544	4.516998266204535
ERR8314741	d__Archaea	19.748653500897667	0.0
ERR8314742	d__Bacteria	53.97360075367889	2.9219851763436058
ERR8314742	d__Archaea	15.083251714005877	0.0
ERR8314743	d__Bacteria	59.194334486691645	4.3110041885117845
ERR8314743	d__Archaea	4.023792862141358	0.0
ERR8314745	d__Bacteria	52.10845279373694	3.8059581573349393
