accession,assembly_f_unweighted,assembly_f_weighted,assembly_f_readmapped,assembly_f_readmapped_w,ref_f_unweighted,ref_f_weighted,f_reads_mapped,assembly_refmap_isect_w,yaml_n_bases,yaml_n_reads,yaml_kmers,yaml_known_hashes,yaml_unknown_hashes,yaml_total_hashes,w_isect_all,w_isect_matches,w_no_isect,w_isect_mapassem,w_mapassem_only,w_map_only,biome1,biome2,biome3
ERR3155596,0.1046103558312693,0.1490964396488749,0.1673369721344441,0.2024178772020167,0.0110988609983145,0.0127300815539553,0.0801706978023225,0.0044100211968432,380892911,1585492,255984422,2859,254735,257594,1473,4252,263914,49799,67610,1765,Engineered,Engineered:Solid waste,Engineered:Solid waste:Composting
ERR3155597,0.1141444231596891,0.1487924259484799,0.1697482679178727,0.1965865556646171,0.0108102178077447,0.0121824311681141,0.0763385713015647,0.0038539946621845,348228575,1439744,236154884,2562,234436,236998,1174,3711,242415,45324,59884,1392,Engineered,Engineered:Solid waste,Engineered:Solid waste:Composting
ERR3273281,0.0400719659797186,0.8941448998682225,0.8515452774103626,0.985932966852588,0.0613986431710534,0.7865929749873258,0.9471755920017528,0.7835856266945999,1934391170,12898526,142641013,8634,131988,140622,1188661,1193223,18847,1356374,1495612,1190731,Host-associated,Host-associated:Human,Host-associated:Human:Skin
ERR3890099,0.0124098203732866,0.0171665155378071,0.0287116295173579,0.033785446459371,0.0077287906650053,0.0100763809376102,0.0412064426227058,0.0010996637710601,3564030679,29706908,1529069545,11764,1510337,1522101,2936,26903,2557669,45827,90204,4875,Environmental,Environmental:Terrestrial,Environmental:Terrestrial:Soil
ERR4398707,0.2147809880799611,0.7958995471009528,0.506935581438447,0.8835724246473865,0.3870988044994249,0.7079219917818115,0.8092695653072643,0.6246284429066361,9985028618,69276474,1160476267,442824,701132,1143956,4899806,5553190,557123,6243317,6931054,5197014,Host-associated,Host-associated:Animal,Host-associated:Animal:Digestive system
ERR575692,0.0595803215017801,0.9500007646159666,0.3851008738806775,0.9827077112517562,0.095263782500809,0.8138372883925312,0.8745383055240644,0.8124490117504852,2590776636,25913782,37407490,3532,33544,37076,1221942,1224030,23981,1428823,1478015,1222003,Engineered,Engineered:Modeled,Engineered:Modeled:Simulated communities (microbial mixture)
ERR5866866,0.0204022554964964,0.0329063930656818,0.0529994903428962,0.068490985049607,0.0105151358462822,0.015667884625091,0.094137938543909,0.0035130897790649,5350080413,35725214,3529013222,36869,3469410,3506279,15018,66996,3946365,140685,292868,30240,Environmental,Environmental:Terrestrial,Environmental:Terrestrial:Soil
ERR5866883,0.0507277865721805,0.1082930910836748,0.1171147832716929,0.1769913023730302,0.0104263415045625,0.0194054337503543,0.1002051302764786,0.0101897502515736,4154569236,27728720,2518686813,26201,2486761,2512962,33830,64428,2711579,359526,587629,43552,Environmental,Environmental:Terrestrial,Environmental:Terrestrial:Soil
ERR5954451,0.3101852132394319,0.6846662795743509,0.5176469067365069,0.7957780258917514,0.1017378057278588,0.196115579307927,0.3795141172039853,0.1694843039387308,11626596132,77740394,2471744923,251838,2223525,2475363,1571258,1818154,1779615,6347421,7377522,1704463,Environmental,Environmental:Aquatic,Environmental:Aquatic:Freshwater
ERR738544,0.1143585730677322,0.2563815098422821,0.4396107401959627,0.5170909632202689,0.2317149111555513,0.3369327409435018,0.6629808651296378,0.1692168308860328,5781504232,57823334,3091001320,716301,2375002,3091303,684329,1362618,1332846,1036818,2091211,742512,Engineered,Engineered:Modeled,Engineered:Modeled:Simulated communities (sequence read mixture)
ERR738545,0.1105407444741281,0.2476402431502248,0.431535124647122,0.5070866373758315,0.2277802217437498,0.3307535289595824,0.6614319390405745,0.1641733496685427,5725321792,57261432,3081153387,703668,2385573,3089241,657394,1324482,1363326,991608,2030597,713991,Engineered,Engineered:Modeled,Engineered:Modeled:Simulated communities (sequence read mixture)
ERR738546,0.1150008120827705,0.2574937941246089,0.4436562933862001,0.5208162234490553,0.2304499449091608,0.3359261130901111,0.663050135570695,0.1691618149555807,5865560606,58663858,3122073994,722211,2411706,3133917,693909,1378023,1340492,1056241,2136472,752846,Engineered,Engineered:Modeled,Engineered:Modeled:Simulated communities (sequence read mixture)
