query,p_genome,avg_abund,p_metag,metagenome name
canFam6.fa.gz,0.00%,18.7,0.10%,SRR12180976
canFam6.fa.gz,0.20%,11,0.40%,SRR18439544
canFam6.fa.gz,0.40%,4.9,0.80%,ERR3274631
canFam6.fa.gz,0.00%,14.6,0.00%,ERR2241971
canFam6.fa.gz,0.00%,8.5,0.00%,ERR4869801
canFam6.fa.gz,0.20%,1.6,1.50%,SRR3183877
canFam6.fa.gz,0.00%,2,0.00%,SRR3182355
canFam6.fa.gz,0.00%,1.5,0.00%,SRR1483416
canFam6.fa.gz,0.40%,2.8,0.30%,ERR7438299
canFam6.fa.gz,0.00%,3.5,0.00%,ERR2808653
canFam6.fa.gz,0.00%,1.8,0.30%,SRR6216742
canFam6.fa.gz,0.00%,3,0.00%,SRR1204581
canFam6.fa.gz,0.00%,4.2,0.00%,SRR9109401
canFam6.fa.gz,0.00%,1,0.00%,ERR2762149
canFam6.fa.gz,0.00%,2.7,0.00%,SRR19524209
canFam6.fa.gz,0.00%,1.2,0.00%,SRR19759463
canFam6.fa.gz,0.00%,1.1,0.00%,SRR19759466
canFam6.fa.gz,0.20%,1.7,1.20%,SRR3183878
canFam6.fa.gz,0.00%,2.6,0.00%,ERR2592244
canFam6.fa.gz,0.00%,2.6,0.10%,SRR14679312
canFam6.fa.gz,0.00%,3,0.00%,ERR2683615
canFam6.fa.gz,0.00%,1.6,0.00%,SRR1631310
canFam6.fa.gz,0.00%,2.7,0.00%,ERR4404432
canFam6.fa.gz,0.00%,3,0.00%,SRR3988328
canFam6.fa.gz,0.00%,4.4,0.00%,ERR2592251
canFam6.fa.gz,0.00%,5.5,0.00%,SRR13921775
canFam6.fa.gz,0.00%,2,0.00%,SRR975540
canFam6.fa.gz,0.00%,5.7,0.00%,ERR2863807
canFam6.fa.gz,0.00%,2.9,0.00%,SRR7287200
canFam6.fa.gz,0.00%,2.4,0.10%,ERR576942
canFam6.fa.gz,0.00%,1.5,0.00%,SRR13840155
canFam6.fa.gz,0.00%,2,0.00%,SRR12908323
canFam6.fa.gz,0.20%,2.7,0.10%,SRR4420308
canFam6.fa.gz,0.00%,1,0.00%,SRR6519255
canFam6.fa.gz,0.00%,119.9,2.60%,ERR2592328
canFam6.fa.gz,0.00%,1.6,0.00%,ERR1470822
canFam6.fa.gz,0.00%,1.6,0.10%,SRR13256655
canFam6.fa.gz,0.00%,2.4,0.00%,ERR2241705
canFam6.fa.gz,0.00%,9.1,0.00%,ERR2241981
canFam6.fa.gz,0.00%,9.8,0.10%,ERR2848514
canFam6.fa.gz,0.00%,1.3,0.30%,SRR12203209
canFam6.fa.gz,0.00%,1.3,0.00%,ERR2696423
canFam6.fa.gz,0.00%,17.2,0.20%,SRR12480242
canFam6.fa.gz,0.00%,3.7,0.00%,SRR15604614
canFam6.fa.gz,0.00%,16.9,0.10%,ERR2241842
canFam6.fa.gz,0.20%,14,0.70%,SRR18439530
canFam6.fa.gz,0.00%,1,0.20%,SRR5790631
canFam6.fa.gz,0.00%,6,0.00%,SRR6323194
canFam6.fa.gz,0.00%,25,0.20%,ERR2241825
canFam6.fa.gz,0.00%,14.3,0.00%,ERR2607466
canFam6.fa.gz,0.00%,3,0.00%,ERR2607481
canFam6.fa.gz,0.10%,8.3,0.20%,ERR3357630
canFam6.fa.gz,0.00%,2,0.00%,ERR2762973
canFam6.fa.gz,0.00%,1.3,0.00%,ERR1470829
canFam6.fa.gz,0.00%,1.6,0.00%,SRR13256676
canFam6.fa.gz,0.00%,1,0.00%,SRR6323141
canFam6.fa.gz,0.10%,4.6,0.10%,SRR15604584
canFam6.fa.gz,0.00%,10,0.00%,ERR5385022
canFam6.fa.gz,0.00%,28.4,0.20%,ERR2241749
canFam6.fa.gz,0.00%,1.3,0.00%,ERR2592261
canFam6.fa.gz,0.00%,1,0.00%,SRR7665005
canFam6.fa.gz,0.00%,23.8,0.10%,SRR12181006
canFam6.fa.gz,0.00%,1,0.00%,ERR3285591
canFam6.fa.gz,0.70%,2.6,0.50%,ERR4398780
canFam6.fa.gz,0.00%,5.6,0.10%,SRR5808817
canFam6.fa.gz,0.00%,1.4,0.30%,SRR3187445
canFam6.fa.gz,0.00%,1,0.00%,SRR10810041
canFam6.fa.gz,0.00%,2.9,0.00%,ERR2607371
canFam6.fa.gz,0.00%,1,0.00%,ERR1731826
canFam6.fa.gz,0.00%,46.3,0.30%,SRR12180994
canFam6.fa.gz,0.00%,5.6,0.00%,ERR2592283
felCat9.fa.gz,0.00%,1,0.00%,SRR3988535
felCat9.fa.gz,0.00%,1,0.00%,ERR9456920
felCat9.fa.gz,0.00%,10.1,0.00%,ERR3610816
felCat9.fa.gz,0.00%,1,0.00%,SRR7664969
felCat9.fa.gz,0.00%,17.2,0.10%,SRR12180980
felCat9.fa.gz,0.00%,1,0.00%,SRR5165810
felCat9.fa.gz,0.00%,11.6,0.00%,SRR6713626
felCat9.fa.gz,0.00%,2.5,0.00%,SRR7287215
felCat9.fa.gz,0.00%,17.7,0.20%,ERR2241662
felCat9.fa.gz,0.00%,1,0.00%,SRR3211777
felCat9.fa.gz,0.00%,1.6,0.10%,SRR12272205
felCat9.fa.gz,0.00%,4,0.00%,SRR19759414
felCat9.fa.gz,0.00%,11.5,0.10%,SRR12181035
felCat9.fa.gz,0.00%,7,0.00%,ERR2683618
felCat9.fa.gz,0.00%,2,0.00%,SRR1632445
felCat9.fa.gz,0.00%,64.2,0.60%,ERR2592343
felCat9.fa.gz,0.00%,7.8,0.10%,SRR15633998
felCat9.fa.gz,0.10%,28.5,0.30%,ERR2241752
felCat9.fa.gz,0.00%,11.3,0.10%,ERR2607424
felCat9.fa.gz,0.00%,9.7,0.00%,ERR6760079
felCat9.fa.gz,0.10%,3.9,0.10%,SRR15604587
felCat9.fa.gz,0.00%,170.1,4.00%,ERR2592336
felCat9.fa.gz,0.00%,3.5,0.00%,ERR1414265
felCat9.fa.gz,0.00%,1.3,0.00%,SRR1632820
felCat9.fa.gz,0.00%,1.6,0.00%,SRR3187432
felCat9.fa.gz,0.00%,3.8,0.00%,SRR11267081
felCat9.fa.gz,0.00%,2.2,0.00%,SRR10810020
felCat9.fa.gz,0.00%,10.8,0.00%,SRR12908327
felCat9.fa.gz,0.30%,23.7,1.40%,ERR2241907
felCat9.fa.gz,0.10%,4.9,0.10%,SRR15604488
felCat9.fa.gz,0.00%,14,0.10%,SRR12181033
felCat9.fa.gz,0.00%,316,1.50%,ERR2245479
felCat9.fa.gz,0.00%,2,0.00%,SRR3183649
felCat9.fa.gz,0.00%,4,0.00%,SRR11267080
felCat9.fa.gz,0.00%,37.6,0.10%,ERR738548
felCat9.fa.gz,0.10%,8.4,0.10%,ERR2245445
felCat9.fa.gz,0.00%,8.2,0.10%,SRR10527395
felCat9.fa.gz,0.10%,8.8,0.10%,ERR2094165
felCat9.fa.gz,0.00%,4.4,0.00%,ERR2564007
felCat9.fa.gz,0.00%,7.5,0.00%,ERR3273282
felCat9.fa.gz,0.00%,4.1,0.10%,SRR7610135
felCat9.fa.gz,0.00%,1,0.00%,SRR1631321
felCat9.fa.gz,0.00%,9.5,0.00%,SRR5808807
felCat9.fa.gz,0.00%,2.3,0.00%,ERR3593017
felCat9.fa.gz,0.00%,1,0.00%,SRR12272164
felCat9.fa.gz,0.00%,5.2,0.00%,ERR2241673
felCat9.fa.gz,0.00%,1,0.00%,ERR2538526
felCat9.fa.gz,0.00%,1,0.00%,SRR3988555
felCat9.fa.gz,0.00%,14.6,0.00%,ERR2241905
felCat9.fa.gz,0.00%,2.1,0.00%,DRR014782
felCat9.fa.gz,0.00%,2,0.00%,SRR1631315
felCat9.fa.gz,0.00%,2.2,0.10%,SRR13713017
felCat9.fa.gz,0.00%,1,0.00%,SRR19759452
felCat9.fa.gz,0.00%,1,0.00%,SRR3988603
felCat9.fa.gz,0.00%,12.4,0.00%,ERR2241906
felCat9.fa.gz,0.00%,1.8,0.00%,SRR2107178
felCat9.fa.gz,0.00%,18,0.10%,SRR13827504
felCat9.fa.gz,0.00%,1,0.00%,ERR2683611
felCat9.fa.gz,0.00%,7.8,0.30%,SRR6727993
felCat9.fa.gz,0.00%,10.2,0.00%,ERR10695319
felCat9.fa.gz,0.00%,8.5,0.00%,ERR2607498
felCat9.fa.gz,0.00%,13.6,0.20%,ERR4398722
felCat9.fa.gz,0.00%,3.6,0.00%,SRR19981115
felCat9.fa.gz,0.00%,3.2,0.00%,ERR10736386
felCat9.fa.gz,0.00%,2,0.00%,ERR2762980
felCat9.fa.gz,0.00%,2.7,0.00%,SRR4408133
felCat9.fa.gz,0.00%,1,0.00%,SRR3211792
felCat9.fa.gz,0.00%,1.7,0.10%,SRR5382238
felCat9.fa.gz,0.00%,406.5,1.50%,SRR13840094
felCat9.fa.gz,0.00%,10.3,0.10%,SRR12181016
felCat9.fa.gz,0.00%,3.2,0.10%,SRR13256671
felCat9.fa.gz,0.00%,51.6,0.30%,SRR15429271
felCat9.fa.gz,0.00%,2,0.00%,SRR3988607
felCat9.fa.gz,0.00%,4.3,0.00%,SRR2107218
felCat9.fa.gz,0.10%,6.5,0.10%,ERR4398745
felCat9.fa.gz,0.00%,2.8,0.00%,SRR10527384
felCat9.fa.gz,0.00%,5.4,0.00%,ERR4398794
felCat9.fa.gz,0.00%,3,0.00%,ERR2696814
felCat9.fa.gz,0.00%,55.8,0.20%,ERR2241881
felCat9.fa.gz,0.10%,224.1,1.90%,ERR599277
felCat9.fa.gz,0.00%,1,0.00%,ERR2683612
felCat9.fa.gz,0.00%,7.3,0.00%,SRR3017104
felCat9.fa.gz,0.00%,1.7,0.00%,SRR6519254
felCat9.fa.gz,0.00%,1,0.00%,ERR1467148
felCat9.fa.gz,0.00%,2,0.00%,SRR3989360
felCat9.fa.gz,0.00%,2.9,0.00%,ERR2241779
felCat9.fa.gz,0.00%,4.9,0.00%,ERR2607416
felCat9.fa.gz,0.00%,6.1,0.00%,ERR5866866
felCat9.fa.gz,0.00%,24.7,0.50%,ERR1868854
felCat9.fa.gz,0.00%,43.1,0.30%,ERR2245482
felCat9.fa.gz,0.00%,6.8,0.00%,SRR10914160
felCat9.fa.gz,0.00%,1,0.00%,ERR5083272
felCat9.fa.gz,0.10%,20.4,4.90%,SRR6216758
felCat9.fa.gz,0.00%,3.3,0.20%,SRR16350227
felCat9.fa.gz,0.00%,3.5,0.00%,ERR2607418
felCat9.fa.gz,0.00%,13.2,0.10%,ERR4869744
felCat9.fa.gz,0.00%,5.6,0.00%,ERR2607450
felCat9.fa.gz,0.00%,1,0.00%,ERR3219773
felCat9.fa.gz,0.00%,24.1,0.10%,ERR2241687
felCat9.fa.gz,0.00%,10,0.00%,ERR2607464
felCat9.fa.gz,0.00%,1,0.00%,SRR3211765
felCat9.fa.gz,0.00%,10.1,0.00%,SRR9219376
felCat9.fa.gz,0.10%,2.3,0.00%,ERR2241724
felCat9.fa.gz,0.00%,1.4,0.00%,SRR7664985
felCat9.fa.gz,0.00%,22.7,0.20%,SRR5788051
felCat9.fa.gz,0.00%,14.5,0.00%,ERR2597421
felCat9.fa.gz,0.00%,1.4,0.00%,SRR3989393
felCat9.fa.gz,0.00%,7.3,0.00%,SRR490749
felCat9.fa.gz,0.30%,61.3,6.70%,SRR6757641
felCat9.fa.gz,0.00%,11.2,0.00%,ERR2135449
felCat9.fa.gz,0.00%,6,0.00%,ERR2597514
felCat9.fa.gz,0.00%,1.8,0.00%,SRR7664988
felCat9.fa.gz,0.00%,4.8,0.00%,SRR19721632
felCat9.fa.gz,0.00%,1.9,0.00%,SRR10810029
felCat9.fa.gz,0.00%,6.8,0.30%,ERR1868846
felCat9.fa.gz,0.00%,4.4,0.00%,ERR2808649
felCat9.fa.gz,0.00%,1.4,0.10%,SRR3188780
felCat9.fa.gz,0.00%,8.5,0.00%,SRR7403892
felCat9.fa.gz,0.00%,43.7,0.50%,SRR6514678
felCat9.fa.gz,0.00%,2.3,0.00%,SRR5808831
felCat9.fa.gz,0.00%,4.6,0.00%,SRR9109406
felCat9.fa.gz,0.00%,7,0.10%,SRR17188293
felCat9.fa.gz,0.00%,1.2,0.00%,SRR7665009
felCat9.fa.gz,0.00%,6.4,0.00%,SRR11267049
felCat9.fa.gz,0.00%,5.5,0.00%,SRR18079830
felCat9.fa.gz,0.00%,5.9,0.00%,SRR1917151
felCat9.fa.gz,0.00%,1,0.00%,ERR589817
felCat9.fa.gz,0.00%,7.5,0.10%,SRR7468287
felCat9.fa.gz,0.10%,3.9,0.10%,SRR15604629
felCat9.fa.gz,0.00%,3.4,0.00%,SRR10527389
felCat9.fa.gz,0.00%,1.7,0.10%,SRR18825464
felCat9.fa.gz,0.00%,3.5,0.00%,SRR15604625
felCat9.fa.gz,0.00%,8.9,0.10%,ERR4398761
felCat9.fa.gz,0.00%,6.3,0.10%,SRR4069403
felCat9.fa.gz,0.00%,1,0.00%,SRR19759426
felCat9.fa.gz,0.00%,3.7,0.00%,SRR1873833
felCat9.fa.gz,0.00%,1.8,0.10%,SRR5382244
felCat9.fa.gz,0.00%,12.6,0.00%,ERR2241860
felCat9.fa.gz,0.00%,1.6,0.00%,SRR12272154
felCat9.fa.gz,0.00%,10.8,0.10%,DRR019499
felCat9.fa.gz,0.00%,1.8,0.00%,SRR19715298
felCat9.fa.gz,0.00%,44.2,0.50%,SRR6514687
felCat9.fa.gz,0.00%,3.3,0.00%,SRR1873853
felCat9.fa.gz,0.00%,5.1,0.00%,SRR17188284
felCat9.fa.gz,0.00%,132.8,0.60%,SRR4420322
felCat9.fa.gz,0.00%,2.5,0.10%,SRR14629574
felCat9.fa.gz,0.00%,1,0.00%,ERR1525441
felCat9.fa.gz,0.00%,6.9,0.10%,ERR2144869
felCat9.fa.gz,0.00%,4,0.00%,SRR2047830
felCat9.fa.gz,0.00%,4.5,0.00%,SRR6311222
felCat9.fa.gz,0.00%,21,0.00%,ERR2241692
felCat9.fa.gz,0.00%,14.5,0.10%,SRR12181008
felCat9.fa.gz,0.00%,3.8,0.00%,SRR15604477
felCat9.fa.gz,0.00%,3.6,0.00%,SRR5808811
felCat9.fa.gz,0.20%,13.8,0.60%,SRR18439529
felCat9.fa.gz,0.10%,33.7,0.30%,ERR4869826
felCat9.fa.gz,0.00%,1.1,0.00%,SRR1631246
felCat9.fa.gz,0.00%,1.2,0.00%,SRR3989365
felCat9.fa.gz,0.10%,5.8,0.40%,SRR13753928
felCat9.fa.gz,0.00%,9.4,0.20%,ERR4398785
felCat9.fa.gz,0.00%,3.7,0.00%,ERR1869526
felCat9.fa.gz,0.00%,3,0.00%,SRR6323418
felCat9.fa.gz,0.00%,11.9,0.10%,SRR1873849
felCat9.fa.gz,0.00%,1.5,0.00%,ERR589841
felCat9.fa.gz,0.00%,1.5,0.00%,SRR5106331
felCat9.fa.gz,0.10%,6.7,0.10%,ERR2241650
felCat9.fa.gz,0.00%,4.2,0.00%,ERR2592278
felCat9.fa.gz,0.00%,3.6,0.00%,ERR2592276
felCat9.fa.gz,0.00%,36.8,0.10%,ERR1877481
felCat9.fa.gz,0.00%,22.7,0.50%,SRR13122252
felCat9.fa.gz,0.00%,2,0.10%,SRR5382227
felCat9.fa.gz,0.00%,3.7,0.10%,ERR2144896
felCat9.fa.gz,0.00%,4.3,0.10%,ERR1868838
felCat9.fa.gz,0.10%,121.8,1.40%,ERR1726914
felCat9.fa.gz,0.00%,5.9,0.00%,ERR2808654
felCat9.fa.gz,0.00%,1.4,0.00%,SRR7664947
felCat9.fa.gz,0.00%,1.7,0.00%,ERR5917023
felCat9.fa.gz,0.40%,27.7,4.80%,SRR6145077
felCat9.fa.gz,0.00%,7.6,0.00%,ERR2094171
felCat9.fa.gz,0.00%,6.7,0.10%,ERR2597427
felCat9.fa.gz,0.00%,10.9,0.10%,SRR12180951
felCat9.fa.gz,0.00%,1.2,0.00%,SRR5382231
felCat9.fa.gz,0.00%,1.7,0.00%,SRR3989353
felCat9.fa.gz,0.00%,13.9,0.00%,ERR3589579
felCat9.fa.gz,0.00%,6.4,0.00%,ERR2592265
felCat9.fa.gz,0.10%,18.5,0.50%,SRR5788247
felCat9.fa.gz,0.00%,1,0.00%,SRR3989386
felCat9.fa.gz,0.00%,6.6,0.00%,ERR589541
felCat9.fa.gz,0.00%,19,0.00%,SRR3961734
felCat9.fa.gz,0.00%,1.7,0.00%,ERR1512994
felCat9.fa.gz,0.00%,1,0.00%,SRR3182025
felCat9.fa.gz,0.00%,1.2,0.00%,ERR1512998
felCat9.fa.gz,0.00%,2,0.00%,SRR3187446
felCat9.fa.gz,0.00%,30,0.30%,ERR2241793
felCat9.fa.gz,0.00%,4.1,0.00%,SRR11267071
felCat9.fa.gz,0.00%,3.2,0.00%,ERR2607429
felCat9.fa.gz,0.00%,2.5,0.10%,SRR16350202
felCat9.fa.gz,0.00%,10.9,0.30%,ERR1864492
felCat9.fa.gz,0.00%,2.2,0.00%,ERR3083899
felCat9.fa.gz,0.00%,1,0.00%,ERR970318
felCat9.fa.gz,0.00%,4.8,0.00%,SRR2047832
felCat9.fa.gz,0.00%,9.3,0.10%,ERR1868842
felCat9.fa.gz,0.00%,2.2,0.10%,SRR13713035
felCat9.fa.gz,0.00%,8.4,0.10%,ERR2750096
felCat9.fa.gz,0.00%,12.7,0.20%,ERR4398744
felCat9.fa.gz,0.00%,8.2,0.00%,ERR414481
felCat9.fa.gz,0.00%,8.6,0.00%,ERR10695321
felCat9.fa.gz,0.00%,7.2,0.10%,ERR594327
felCat9.fa.gz,0.00%,25.9,0.10%,ERR2241639
felCat9.fa.gz,0.00%,4.1,0.10%,ERR3340883
felCat9.fa.gz,0.00%,22.4,0.20%,ERR4869720
felCat9.fa.gz,0.00%,3,0.00%,SRR3211781
felCat9.fa.gz,0.00%,4,0.00%,ERR864206
felCat9.fa.gz,0.00%,1,0.00%,SRR4048938
felCat9.fa.gz,0.00%,37.4,0.10%,SRR9182859
felCat9.fa.gz,0.00%,2.7,0.00%,ERR4702555
felCat9.fa.gz,0.00%,1.3,0.00%,SRR3988320
felCat9.fa.gz,0.00%,6,0.00%,ERR2757383
felCat9.fa.gz,0.00%,2.5,0.00%,SRR19715303
felCat9.fa.gz,0.00%,17.3,0.30%,ERR5094870
felCat9.fa.gz,0.00%,1.5,0.00%,SRR1632449
felCat9.fa.gz,0.10%,4,0.10%,SRR19241959
felCat9.fa.gz,0.00%,17,0.00%,SRR3961733
felCat9.fa.gz,0.00%,22.4,0.70%,SRR12479754
felCat9.fa.gz,0.00%,2.1,0.10%,SRR5574508
felCat9.fa.gz,0.00%,3.3,0.00%,SRR1702227
felCat9.fa.gz,0.00%,706.8,1.80%,SRR13840100
felCat9.fa.gz,0.00%,11.9,0.10%,SRR2018010
felCat9.fa.gz,0.00%,10.4,0.00%,SRR6713630
felCat9.fa.gz,0.00%,3.8,0.10%,SRR7664943
felCat9.fa.gz,0.00%,2.5,0.00%,ERR2597356
felCat9.fa.gz,0.10%,4.7,0.20%,SRR13528212
felCat9.fa.gz,0.00%,4.1,0.10%,SRR7610121
felCat9.fa.gz,0.00%,3.3,0.00%,SRR15604633
felCat9.fa.gz,0.00%,2.1,0.10%,SRR13256653
felCat9.fa.gz,0.00%,6.1,0.00%,ERR2607472
felCat9.fa.gz,0.00%,8.8,0.00%,ERR2784837
felCat9.fa.gz,0.00%,3,0.20%,SRR16350244
felCat9.fa.gz,0.00%,3.9,0.00%,SRR10914162
felCat9.fa.gz,0.00%,1.9,0.10%,SRR5382246
felCat9.fa.gz,0.00%,1.7,0.00%,SRR1631484
felCat9.fa.gz,0.00%,7.8,0.00%,SRR5007354
felCat9.fa.gz,0.00%,1,0.00%,SRR1631494
felCat9.fa.gz,0.00%,6.7,0.10%,SRR17188279
felCat9.fa.gz,0.00%,5.8,0.10%,SRR9109409
felCat9.fa.gz,0.00%,1.3,0.00%,ERR1525434
felCat9.fa.gz,0.00%,4.5,0.00%,ERR3357626
felCat9.fa.gz,0.00%,6.1,0.00%,SRR11267051
felCat9.fa.gz,0.00%,14.1,0.10%,SRR12181054
felCat9.fa.gz,0.30%,14.8,0.80%,SRR18439537
felCat9.fa.gz,0.00%,2,0.10%,ERR576943
felCat9.fa.gz,0.10%,5.1,0.10%,ERR2241656
felCat9.fa.gz,0.00%,24.6,0.20%,SRR12456169
felCat9.fa.gz,0.00%,6.7,0.00%,SRR3961742
felCat9.fa.gz,0.00%,4.4,0.00%,ERR2863824
felCat9.fa.gz,0.10%,20.8,6.00%,SRR1950773
felCat9.fa.gz,0.10%,48.7,0.60%,SRR5720293
felCat9.fa.gz,0.00%,21.5,0.10%,SRR12181012
felCat9.fa.gz,0.00%,12.6,0.00%,SRR1522964
felCat9.fa.gz,0.00%,1.9,0.00%,SRR10810038
felCat9.fa.gz,0.00%,9,0.10%,ERR4398786
felCat9.fa.gz,0.00%,12.6,0.00%,ERR2241879
felCat9.fa.gz,0.00%,4.1,0.00%,SRR1202081
felCat9.fa.gz,0.00%,2.1,0.10%,SRR13256642
felCat9.fa.gz,0.00%,13.8,0.10%,SRR12180948
felCat9.fa.gz,0.00%,2.3,0.00%,ERR2683624
felCat9.fa.gz,0.00%,2.5,0.00%,ERR3357590
felCat9.fa.gz,0.00%,2.6,0.10%,ERR3155588
felCat9.fa.gz,0.00%,10.9,0.00%,ERR2241904
felCat9.fa.gz,0.00%,1.2,0.00%,SRR3989395
felCat9.fa.gz,0.00%,9.7,0.00%,SRR9219371
felCat9.fa.gz,0.00%,13.5,0.00%,ERR2241770
felCat9.fa.gz,0.00%,1,0.00%,SRR1631039
felCat9.fa.gz,0.00%,7.5,0.00%,ERR4398796
felCat9.fa.gz,0.00%,8.3,0.00%,ERR3285537
felCat9.fa.gz,0.10%,17.4,2.20%,ERR3593583
felCat9.fa.gz,0.00%,1.7,0.00%,ERR575691
felCat9.fa.gz,0.00%,5.5,0.00%,ERR2607431
felCat9.fa.gz,0.00%,10,0.20%,DRR046087
felCat9.fa.gz,0.00%,1.9,0.00%,SRR13256646
felCat9.fa.gz,0.00%,6.7,0.00%,DRR163689
felCat9.fa.gz,0.20%,12.9,0.80%,SRR18439533
felCat9.fa.gz,0.00%,1.7,0.10%,SRR18825439
felCat9.fa.gz,0.00%,1.8,0.10%,SRR13256638
felCat9.fa.gz,0.00%,1.1,0.00%,SRR3187208
felCat9.fa.gz,0.00%,8.6,0.00%,ERR5947604
felCat9.fa.gz,0.00%,2,0.00%,SRR1632443
felCat9.fa.gz,0.00%,2,0.00%,SRR19759410
felCat9.fa.gz,0.00%,2.5,0.00%,SRR1873864
felCat9.fa.gz,0.00%,1.5,0.00%,SRR3187447
felCat9.fa.gz,0.00%,28.7,0.30%,ERR2592333
felCat9.fa.gz,0.00%,1.6,0.10%,SRR12272150
felCat9.fa.gz,0.00%,1.6,0.00%,ERR2597446
felCat9.fa.gz,0.00%,2,0.00%,SRR1631318
felCat9.fa.gz,0.00%,145,1.50%,ERR2241789
felCat9.fa.gz,0.00%,4,0.00%,ERR2808664
felCat9.fa.gz,0.00%,1.2,0.00%,SRR3989398
felCat9.fa.gz,0.00%,4.7,0.00%,SRR11267059
felCat9.fa.gz,0.00%,11.9,0.10%,SRR12097445
felCat9.fa.gz,0.00%,1.5,0.00%,ERR2696426
felCat9.fa.gz,0.00%,2.5,0.00%,ERR3357551
felCat9.fa.gz,0.00%,5,0.00%,SRR2107219
felCat9.fa.gz,0.00%,20.9,0.20%,SRR5918694
felCat9.fa.gz,0.00%,7,0.00%,SRR3017091
felCat9.fa.gz,0.00%,10.6,0.00%,ERR2241799
felCat9.fa.gz,0.00%,7.3,0.00%,ERR4398813
felCat9.fa.gz,0.00%,6.9,0.00%,ERR2241967
felCat9.fa.gz,0.00%,1,0.00%,ERR2486462
felCat9.fa.gz,0.00%,10.7,0.00%,SRR1023996
felCat9.fa.gz,0.00%,1.1,0.20%,SRR5790623
felCat9.fa.gz,0.00%,1,0.00%,ERR2538501
felCat9.fa.gz,0.00%,1.3,0.00%,SRR3989388
felCat9.fa.gz,0.00%,3.3,0.00%,SRR7287194
felCat9.fa.gz,0.00%,3.5,0.00%,ERR3414573
felCat9.fa.gz,0.00%,2.9,0.10%,SRR5382233
felCat9.fa.gz,0.00%,15.8,0.50%,SRR12480167
felCat9.fa.gz,0.00%,31.5,0.10%,SRR9182871
felCat9.fa.gz,0.00%,14.2,0.00%,SRR12908328
felCat9.fa.gz,0.00%,14.6,0.20%,SRR5788226
felCat9.fa.gz,0.00%,5,0.00%,ERR1544002
felCat9.fa.gz,0.00%,11,0.20%,SRR7287245
felCat9.fa.gz,0.00%,5.2,0.00%,ERR2592266
felCat9.fa.gz,0.00%,1.8,0.10%,SRR5382235
felCat9.fa.gz,0.00%,4.4,0.00%,SRR17255031
felCat9.fa.gz,0.00%,5.6,0.20%,SRR6059112
felCat9.fa.gz,0.00%,7,0.10%,SRR1702230
felCat9.fa.gz,0.00%,22.4,0.10%,SRR15322609
felCat9.fa.gz,0.00%,29.9,0.10%,ERR2241737
felCat9.fa.gz,0.00%,8,0.00%,SRR4305066
felCat9.fa.gz,0.00%,3.6,0.00%,SRR7287219
felCat9.fa.gz,0.00%,2,0.00%,SRR5651438
felCat9.fa.gz,0.00%,2,0.20%,SRR3183534
felCat9.fa.gz,0.00%,1.5,0.00%,SRR7610125
felCat9.fa.gz,0.00%,6.6,0.00%,ERR4398766
felCat9.fa.gz,0.00%,7,0.10%,SRR7664993
felCat9.fa.gz,0.00%,3.5,0.00%,ERR2597372
felCat9.fa.gz,0.00%,5.3,0.10%,ERR1868844
felCat9.fa.gz,0.00%,31.8,0.10%,ERR2241837
felCat9.fa.gz,0.00%,5.7,0.00%,ERR5094899
felCat9.fa.gz,0.00%,1,0.00%,ERR969482
felCat9.fa.gz,0.00%,1,0.00%,SRR3988312
felCat9.fa.gz,0.00%,13.3,0.00%,ERR4398798
felCat9.fa.gz,0.00%,8.9,0.10%,SRR5808821
felCat9.fa.gz,0.00%,10.2,0.00%,ERR5100215
felCat9.fa.gz,0.00%,1.3,0.00%,ERR969468
felCat9.fa.gz,0.00%,4.3,0.00%,SRR1702231
felCat9.fa.gz,0.00%,30.9,0.30%,SRR5915270
felCat9.fa.gz,0.00%,5.9,0.00%,SRR13428088
felCat9.fa.gz,0.00%,2,0.00%,SRR3211795
felCat9.fa.gz,0.00%,14.1,0.00%,ERR2241979
felCat9.fa.gz,0.00%,4.5,0.00%,ERR1512987
felCat9.fa.gz,0.00%,4.7,0.10%,ERR2764820
felCat9.fa.gz,0.10%,23,0.40%,ERR2245443
felCat9.fa.gz,0.00%,11.6,0.00%,SRR11267053
felCat9.fa.gz,0.00%,50,0.60%,SRR12480322
felCat9.fa.gz,0.00%,3.8,0.00%,ERR2607445
felCat9.fa.gz,0.00%,6.7,0.00%,SRR12456163
felCat9.fa.gz,0.00%,4.5,0.00%,SRR7287241
felCat9.fa.gz,0.00%,1,0.00%,SRR7664973
felCat9.fa.gz,0.00%,15.3,0.10%,SRR12181005
felCat9.fa.gz,0.00%,1,0.00%,ERR2696425
felCat9.fa.gz,0.00%,3.8,0.00%,ERR2808659
felCat9.fa.gz,0.00%,10.3,0.10%,SRR12180969
felCat9.fa.gz,0.00%,3,0.00%,SRR3988582
felCat9.fa.gz,0.00%,4.1,0.00%,SRR17257158
felCat9.fa.gz,0.00%,8.1,0.50%,SRR1209978
felCat9.fa.gz,0.00%,5.4,0.10%,SRR5997549
felCat9.fa.gz,0.00%,13.8,0.10%,ERR2607451
felCat9.fa.gz,0.00%,1.3,0.00%,ERR5916864
felCat9.fa.gz,0.00%,1.5,0.00%,SRR13840111
felCat9.fa.gz,0.00%,37.2,0.20%,ERR2241880
felCat9.fa.gz,0.10%,4.4,0.10%,SRR15604491
