query,p_genome,avg_abund,p_metag,metagenome name
bosTau9.fa.gz,0.00%,1,0.00%,SRR6311222
bosTau9.fa.gz,0.00%,26.8,0.00%,ERR2241692
bosTau9.fa.gz,0.00%,15,0.00%,SRR12181008
bosTau9.fa.gz,0.00%,3.8,0.00%,SRR15604477
bosTau9.fa.gz,0.00%,4,0.00%,SRR5808811
bosTau9.fa.gz,0.20%,12.9,0.40%,SRR18439529
bosTau9.fa.gz,0.00%,76.8,0.30%,ERR4869826
bosTau9.fa.gz,0.00%,1,0.00%,SRR1631246
bosTau9.fa.gz,0.00%,5.1,0.20%,SRR13753928
bosTau9.fa.gz,0.10%,2.2,0.10%,ERR4398785
bosTau9.fa.gz,0.00%,1,0.00%,ERR1869526
bosTau9.fa.gz,0.00%,3,0.00%,SRR6323418
bosTau9.fa.gz,0.00%,1,0.00%,SRR3184891
bosTau9.fa.gz,0.00%,2.8,0.00%,SRR1873849
bosTau9.fa.gz,0.00%,1,0.00%,SRR5106331
bosTau9.fa.gz,0.10%,1.6,0.00%,ERR2241650
bosTau9.fa.gz,0.00%,1.8,0.00%,ERR2592278
bosTau9.fa.gz,0.00%,2.5,0.00%,ERR2592276
bosTau9.fa.gz,0.00%,1,0.00%,ERR1877481
bosTau9.fa.gz,0.00%,24,0.20%,SRR13122252
bosTau9.fa.gz,0.00%,1.8,0.00%,SRR5382227
bosTau9.fa.gz,0.00%,3.3,0.00%,ERR2144896
bosTau9.fa.gz,0.00%,3.1,0.10%,ERR1868838
bosTau9.fa.gz,0.00%,273.1,1.10%,ERR1726914
bosTau9.fa.gz,0.00%,1.6,0.00%,ERR2808654
bosTau9.fa.gz,0.00%,1.4,0.00%,SRR7664947
bosTau9.fa.gz,0.00%,1.7,0.00%,ERR5917023
bosTau9.fa.gz,0.30%,2.5,0.30%,SRR6145077
bosTau9.fa.gz,0.00%,5.7,0.00%,ERR2094171
bosTau9.fa.gz,0.00%,1.5,0.00%,ERR2597427
bosTau9.fa.gz,0.00%,10.5,0.00%,SRR12180951
bosTau9.fa.gz,0.00%,1.2,0.00%,SRR5382231
bosTau9.fa.gz,0.00%,3,0.00%,SRR3989353
bosTau9.fa.gz,0.00%,1.3,0.10%,SRR1631704
bosTau9.fa.gz,0.00%,14.8,0.00%,ERR3589579
bosTau9.fa.gz,0.00%,2.1,0.00%,ERR2592265
bosTau9.fa.gz,0.00%,14.4,0.10%,SRR5788247
bosTau9.fa.gz,0.00%,1,0.00%,SRR3989386
bosTau9.fa.gz,0.00%,1.2,0.00%,ERR589541
bosTau9.fa.gz,0.00%,2,0.00%,SRR3961734
bosTau9.fa.gz,0.00%,1,0.00%,ERR1512994
bosTau9.fa.gz,0.00%,2,0.00%,SRR3182025
bosTau9.fa.gz,0.00%,1.3,0.00%,ERR1512998
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR3187446
bosTau9.fa.gz,0.10%,1.6,0.00%,ERR2241793
bosTau9.fa.gz,0.00%,1.7,0.00%,SRR11267071
bosTau9.fa.gz,0.00%,1.2,0.00%,ERR2607429
bosTau9.fa.gz,0.00%,3.1,0.10%,SRR16350202
bosTau9.fa.gz,0.00%,10.6,0.20%,ERR1864492
bosTau9.fa.gz,0.00%,3.2,0.00%,ERR3083899
bosTau9.fa.gz,0.00%,10.6,0.10%,ERR1868842
bosTau9.fa.gz,0.00%,2.3,0.00%,SRR13713035
bosTau9.fa.gz,0.00%,1,0.00%,ERR2750096
bosTau9.fa.gz,0.10%,2.4,0.10%,ERR4398744
bosTau9.fa.gz,0.00%,1.2,0.00%,ERR414481
bosTau9.fa.gz,0.00%,1.7,0.00%,ERR10695321
bosTau9.fa.gz,0.00%,20.1,0.00%,ERR594327
bosTau9.fa.gz,0.00%,37.5,0.10%,ERR2241639
bosTau9.fa.gz,0.00%,4.1,0.10%,ERR3340883
bosTau9.fa.gz,0.00%,33,0.10%,ERR4869720
bosTau9.fa.gz,0.00%,1,0.00%,SRR3211781
bosTau9.fa.gz,0.00%,1,0.00%,SRR4048938
bosTau9.fa.gz,0.00%,14.4,0.00%,SRR9182859
bosTau9.fa.gz,0.00%,2.8,0.00%,ERR4702555
bosTau9.fa.gz,0.00%,1,0.00%,ERR2757383
bosTau9.fa.gz,0.00%,11.1,0.10%,ERR5094870
bosTau9.fa.gz,0.00%,1.8,0.00%,SRR1632449
