accession,ref_f_unweighted,ref_f_weighted,n_matches,biome3
ERR1736743,0.6938834154350426,0.776711765008488,1852,Host-associated:Birds:Digestive system
ERR1736747,0.6936205354069397,0.7872958710689582,2047,Host-associated:Birds:Digestive system
ERR1855278,0.0731702450315038,0.1445089362680305,585,Environmental:Aquatic:Marine
ERR1868848,0.1024633123689672,0.1680466691757621,161,Host-associated:Fish:Digestive system
ERR1869526,0.1330430401611943,0.3465145909046032,633,Engineered:Food production:Fermented vegetables
ERR1869527,0.1996301943101598,0.6220181700566169,1043,Engineered:Food production:Fermented vegetables
ERR1869528,0.2038252390773763,0.8582744265553837,1488,Engineered:Food production:Fermented vegetables
ERR1869529,0.2443065641965429,0.3965634970886563,837,Engineered:Food production:Fermented vegetables
ERR1869530,0.1500393125912273,0.5063225824445924,700,Engineered:Food production:Fermented vegetables
ERR1877474,0.586409807355504,0.9226305226186388,261,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877475,0.5768995306441663,0.9270000818737758,277,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877476,0.5831348928421258,0.9165351647293284,264,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877477,0.6715057665940629,0.9204725777494644,207,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877478,0.6268102758168794,0.931524801782321,219,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877479,0.6058312307260922,0.9316230393819976,228,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877480,0.5595045772751642,0.9532653457775216,225,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877481,0.5500077291698752,0.955992303980246,263,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877482,0.552920905808984,0.95071460939242,225,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1999834,0.8333798492882758,0.8637885588088623,1118,Host-associated:Human:Digestive system
ERR2017147,0.188006482982131,0.4102171519412067,1908,Environmental:Aquatic:Marine
ERR2020034,0.3128501055593018,0.6641985062914066,2508,Host-associated:Mammals:Digestive system
ERR2044295,0.6022210263684702,0.6940489405859356,1471,Host-associated:Birds:Digestive system
