accession,ref_f_unweighted,ref_f_weighted,n_matches
ERR1470829,0.6504001049451715,0.7454950874503519,8499
ERR1470830,0.6558451943059116,0.759666413949962,11734
ERR1512984,0.6138118719756407,0.7171395162779248,9953
ERR1512985,0.6525857319024356,0.7384027902231903,8711
ERR1512986,0.6488314584942685,0.7223934959349594,9497
ERR1512987,0.6773879142295822,0.7645944863250664,9408
ERR1512988,0.633363686752164,0.6897851650352347,11013
ERR1512993,0.6949076449460267,0.7637225087787093,7002
ERR1512994,0.6741603678014045,0.7306639812605354,6283
ERR1512997,0.6712158808927611,0.7340354741745256,5859
ERR1512998,0.6980297547244088,0.7716167589065887,5525
ERR1513004,0.6741828459076861,0.7470072267887682,10290
ERR1513005,0.667849846255252,0.7460873054800018,10563
ERR1513006,0.6771989189424805,0.7477219380078243,9894
ERR1513007,0.689993718446463,0.7758573325397189,8912
ERR1514427,0.6286182898173968,0.6927992336627649,10068
ERR1514428,0.6424493291458433,0.7103311963623702,10739
ERR1514429,0.6818017801295212,0.7644463142149301,10865
ERR1514430,0.6635755790808783,0.7569146549403213,10484
ERR1525434,0.7002441218038524,0.7538168746035102,3863
ERR1525436,0.6892328861368848,0.7530845275500039,6627
ERR1525437,0.7034011869055135,0.7667743921206525,3817
ERR1525439,0.628903944002389,0.678409358297758,8518
ERR1525440,0.665562758361067,0.7303566723958399,9743
ERR1525443,0.6983026308265508,0.7802405278632748,10893
ERR1525444,0.7155979935933795,0.7763678389153468,7244
ERR1525445,0.6672878667719276,0.7377159408296265,10791
ERR1525446,0.7180830759620763,0.7837904751799388,6604
ERR1543776,0.7101572739185928,0.7761340849759751,3154
ERR1543784,0.7328186305528582,0.8070721672411876,3188
ERR1543785,0.7178568870423591,0.8092115014080332,2861
ERR1543794,0.7843337949303059,0.8177477944992216,3358
ERR1543994,0.5742226183399304,0.889338327091136,6980
ERR1544002,0.6537554854384233,0.8941415297566664,11828
ERR1562574,0.7094003665873503,0.8997703176588807,8264
ERR1620360,0.8858620408825439,0.9752991044948859,4657
ERR1725402,0.7926158156285057,0.8714069591527988,3974
ERR1726683,0.27730152193871943,0.40955588771268864,58302
ERR1726689,0.2560706790529221,0.2609208442526803,44366
ERR1726712,0.2513751362478439,0.28435198691167995,92445
ERR1726799,0.27061614054776634,0.3321822746857086,62059
ERR1726902,0.27033292564376893,0.2859246082913834,53247
ERR1726914,0.2977285063697661,0.3989253910007072,111297
ERR1726918,0.2635345457347717,0.2845613288334177,83030
ERR1731826,0.7372994158098958,0.8990803118613276,3973
ERR1731834,0.7678011383432097,0.8607566866812227,4067
ERR1736742,0.8131170662904506,0.8566265523472644,2350
ERR1736743,0.8132576935030653,0.8742331288343558,3817
ERR1736747,0.8200542184605164,0.8851653681279139,4422
ERR1855278,0.29618229145132186,0.3503097728332556,9155
ERR1868848,0.3209033613445307,0.3601332637578774,915
