accession,ref_f_unweighted,ref_f_weighted,n_matches,biome3
ERR10736386,0.371702104,0.875512115,3637,Engineered:Food production:Dairy products
ERR10736388,0.4069002385,0.8667320228,4752,Engineered:Food production:Dairy products
ERR10736389,0.4545072442,0.7194560498,7905,Engineered:Food production:Dairy products
ERR10736392,0.4689342253,0.7018213884,5760,Engineered:Food production:Dairy products
ERR10736393,0.4412178391,0.6934711177,8225,Engineered:Food production:Dairy products
ERR1190729,0.8995546312,0.9811171111,3756,Host-associated:Human:Digestive system
ERR1190860,0.8053655571,0.9857799595,1678,Host-associated:Human:Digestive system
ERR1201173,0.4706395257,0.5063207677,14340,Environmental:Aquatic:Freshwater
ERR1201180,0.4726403203,0.5019589441,13278,Environmental:Aquatic:Freshwater
ERR1414265,0.5638852542,0.6076789591,32479,Engineered:Wastewater:Industrial wastewater
ERR1414267,0.5969588982,0.6911561962,42665,Engineered:Wastewater:Industrial wastewater
ERR1414271,0.5995329081,0.7393847912,40212,Engineered:Wastewater:Industrial wastewater
ERR1467141,0.6237220263,0.699714169,12417,Engineered:Wastewater:Water and sludge
ERR1467142,0.6680335229,0.7534167532,7601,Engineered:Wastewater:Water and sludge
ERR1467143,0.6651997364,0.7420876745,10361,Engineered:Wastewater:Water and sludge
ERR1467144,0.6695757004,0.751676193,8511,Engineered:Wastewater:Water and sludge
ERR1467145,0.6691163976,0.7657489501,10104,Engineered:Wastewater:Water and sludge
ERR1467146,0.6595803936,0.7405307866,7475,Engineered:Wastewater:Water and sludge
ERR1467147,0.6620421866,0.7521286945,10645,Engineered:Wastewater:Water and sludge
ERR1467148,0.6612636304,0.7471843082,9894,Engineered:Wastewater:Water and sludge
ERR1467149,0.6735001224,0.7652296698,11107,Engineered:Wastewater:Water and sludge
ERR1467150,0.6712563663,0.7547608727,8528,Engineered:Wastewater:Water and sludge
ERR1467151,0.6755938019,0.7555760397,8392,Engineered:Wastewater:Water and sludge
ERR1467152,0.6322730087,0.7239249375,9811,Engineered:Wastewater:Water and sludge
ERR1467153,0.6984621132,0.7638024701,7216,Engineered:Wastewater:Water and sludge
ERR1467154,0.6843249897,0.750111779,5835,Engineered:Wastewater:Water and sludge
ERR1470822,0.6591549907,0.7512258124,10225,Engineered:Wastewater:Water and sludge
ERR1470823,0.644520208,0.747369001,10261,Engineered:Wastewater:Water and sludge
ERR1470824,0.6515305996,0.7417276498,9042,Engineered:Wastewater:Water and sludge
ERR1470825,0.6432563383,0.7445787827,9441,Engineered:Wastewater:Water and sludge
ERR1470826,0.6008563716,0.6848249027,10047,Engineered:Wastewater:Water and sludge
ERR1470827,0.6578679053,0.7588764371,11274,Engineered:Wastewater:Water and sludge
ERR1470828,0.6575532374,0.7447222638,9761,Engineered:Wastewater:Water and sludge
ERR1470829,0.6504001049,0.7454950875,8499,Engineered:Wastewater:Water and sludge
ERR1470830,0.6558451943,0.7596664139,11734,Engineered:Wastewater:Water and sludge
ERR1512984,0.613811872,0.7171395163,9953,Engineered:Wastewater:Water and sludge
ERR1512985,0.6525857319,0.7384027902,8711,Engineered:Wastewater:Water and sludge
ERR1512986,0.6488314585,0.7223934959,9497,Engineered:Wastewater:Water and sludge
ERR1512987,0.6773879142,0.7645944863,9408,Engineered:Wastewater:Water and sludge
ERR1512988,0.6333636868,0.689785165,11013,Engineered:Wastewater:Water and sludge
ERR1512993,0.6949076449,0.7637225088,7002,Engineered:Wastewater:Water and sludge
