accession,ref_f_unweighted,ref_f_weighted,n_matches,biome3
ERR2094171,0.4145174292617014,0.518414696276349,28427,Environmental:Aquatic:Aquaculture
ERR2094172,0.4215091766322879,0.6526273511982893,22265,Environmental:Aquatic:Aquaculture
ERR2094173,0.3654811227168583,0.6090957659943903,23160,Environmental:Aquatic:Aquaculture
ERR2094174,0.3710382434822808,0.6105719712744669,23296,Environmental:Aquatic:Aquaculture
ERR2094175,0.3740131538046759,0.4728731064367428,36597,Environmental:Aquatic:Aquaculture
ERR2094176,0.4436581313322507,0.6119665635462135,50907,Environmental:Aquatic:Aquaculture
ERR209780,0.8488418530350618,0.9000462090783066,1961,Host-associated:Human:Digestive system
ERR210047,0.8959469417832915,0.9403358868591633,944,Host-associated:Human:Digestive system
ERR2102261,0.3506586992129171,0.8859805536777594,34290,Engineered:Food production:Fermented beverages
ERR2114805,0.4658907582386076,0.5875478004923891,23586,Host-associated:Plants:Phylloplane
ERR2126384,0.3381291488310933,0.9061420683321746,33087,Engineered:Food production:Fermented beverages
ERR2135449,0.3627562388585568,0.9145652710113292,30504,Engineered:Food production:Fermented beverages
ERR2135457,0.3583809208724077,0.8898904269703629,32966,Engineered:Food production:Fermented beverages
ERR2135518,0.3744926868346344,0.9077274934633844,31754,Engineered:Food production:Fermented beverages
ERR2144879,0.2661491958052534,0.3895894076514319,5090,Host-associated:Plants:Phylloplane
ERR2144890,0.3083275526044877,0.4715893870990925,5527,Host-associated:Plants:Phylloplane
ERR2168953,0.4245357928163906,0.5150909388825168,6666,Environmental:Aquatic:Marine
ERR2168978,0.4209529468558561,0.4765298386223329,5648,Environmental:Aquatic:Marine
ERR2198710,0.692430188249922,0.9679440514794904,4382,Host-associated:Human:Digestive system
ERR2200468,0.6356518829691655,0.6708588458715905,24587,Host-associated:Mammals:Digestive system
ERR2200478,0.6419332596754423,0.6792735363983522,22461,Host-associated:Mammals:Digestive system
ERR2215867,0.3521890444964625,0.3828087695699023,55098,Environmental:Aquatic:Marine
ERR2241625,0.6512564058891893,0.7859869456560228,26864,Host-associated:Animal:Digestive system
ERR2241626,0.6525129982665998,0.7841200237819347,28468,Host-associated:Animal:Digestive system
ERR2241629,0.5306566561835775,0.7081409675526228,47605,Host-associated:Animal:Digestive system
ERR2241633,0.5102216451258935,0.7356743182977368,55503,Host-associated:Animal:Digestive system
ERR2241639,0.4991871077221331,0.8777067978352479,24874,Host-associated:Animal:Digestive system
ERR2241645,0.4609305577807202,0.878062466397908,21946,Host-associated:Animal:Digestive system
ERR2241648,0.517877410612631,0.745766810907979,50571,Host-associated:Animal:Digestive system
ERR2241650,0.5489988768161137,0.6954495545770463,46009,Host-associated:Animal:Digestive system
ERR2241654,0.5092250085526887,0.6887370720009734,61236,Host-associated:Animal:Digestive system
ERR2241656,0.5143844810969864,0.6757651623409118,58275,Host-associated:Animal:Digestive system
ERR2241660,0.5360698454530978,0.671959519745838,44908,Host-associated:Animal:Digestive system
ERR2241662,0.5822884468041237,0.7195500286582844,26839,Host-associated:Animal:Digestive system
ERR2241663,0.5145343202357439,0.6268557771619213,52610,Host-associated:Animal:Digestive system
ERR2241666,0.625139028696428,0.7901232629875773,40236,Host-associated:Animal:Digestive system
ERR2241667,0.5826226141414079,0.7653419774915102,47780,Host-associated:Animal:Digestive system
ERR2241671,0.6332953751096895,0.8328792187477377,45313,Host-associated:Animal:Digestive system
ERR2241673,0.6047892150614134,0.7413092837241877,45011,Host-associated:Animal:Digestive system
ERR2241674,0.652743825014366,0.8633747171242493,47184,Host-associated:Animal:Digestive system
ERR2241676,0.6211572802643818,0.8154760964997927,33165,Host-associated:Animal:Digestive system
ERR2241678,0.6168148607660385,0.6857171306033039,27334,Host-associated:Animal:Digestive system
ERR2241679,0.5940911843786912,0.7944193852513748,52584,Host-associated:Animal:Digestive system
ERR2241685,0.632640794245564,0.755454132011851,34426,Host-associated:Animal:Digestive system
ERR2241690,0.6198684233362275,0.8912363946088365,25593,Host-associated:Animal:Digestive system
ERR2241692,0.5852098612039586,0.8865216485069481,32783,Host-associated:Animal:Digestive system
ERR2241693,0.5951126315250911,0.8728727020243103,26376,Host-associated:Animal:Digestive system
ERR2241701,0.6057749053586223,0.8206468846236731,21579,Host-associated:Animal:Digestive system
ERR2241702,0.4964642980331289,0.7775248182681944,17621,Host-associated:Animal:Digestive system
ERR2241704,0.5504252088883576,0.7596153597534331,16857,Host-associated:Animal:Digestive system
ERR2241705,0.600626514569089,0.6904136969512521,40479,Host-associated:Animal:Digestive system
ERR2241707,0.5850923677887003,0.6887182912038454,40997,Host-associated:Animal:Digestive system
ERR2241712,0.584741864865831,0.7304004302504548,49813,Host-associated:Animal:Digestive system
ERR2241714,0.5905769538751693,0.7411370239907095,49047,Host-associated:Animal:Digestive system
ERR2241715,0.636508621722699,0.7677856120842664,25494,Host-associated:Animal:Digestive system
ERR2241717,0.5694148568262277,0.7475785808240412,46419,Host-associated:Animal:Digestive system
